income,age,sex,employment,education
10000,27,Female,Employee of a private for profit,"some college credit, no degree"
140000,35,Female,Private not-for-profit employee,Master's degree
35000,47,Female,Employee of a private for profit,"some college credit, no degree"
32000,36,Male,Local government employee,Regular high school diploma
49000,47,Female,State government employee,Master's degree
25000,40,Female,Employee of a private for profit,Regular high school diploma
19200,31,Female,Employee of a private for profit,GED or alternative credential
21000,31,Female,Employee of a private for profit,"some college credit, no degree"
110000,40,Male,Employee of a private for profit,Regular high school diploma
105000,35,Male,Employee of a private for profit,Bachelor's degree
27000,46,Female,Employee of a private for profit,"some college credit, no degree"
25000,30,Male,Local government employee,Bachelor's degree
35000,41,Male,Employee of a private for profit,GED or alternative credential
50000,27,Female,Local government employee,Master's degree
110000,41,Male,Employee of a private for profit,Bachelor's degree
46000,25,Female,Employee of a private for profit,"some college credit, no degree"
60380,48,Male,Local government employee,no high school diploma
43000,48,Female,Employee of a private for profit,Bachelor's degree
22200,38,Male,Employee of a private for profit,no high school diploma
22000,40,Male,Employee of a private for profit,Master's degree
32000,36,Male,Employee of a private for profit,no high school diploma
40000,33,Male,Employee of a private for profit,Regular high school diploma
45000,29,Female,Employee of a private for profit,Master's degree
102000,35,Male,Federal government employee,Bachelor's degree
65000,48,Male,Local government employee,"some college credit, no degree"
47000,47,Male,State government employee,Bachelor's degree
30000,31,Female,State government employee,Bachelor's degree
28000,48,Female,Employee of a private for profit,Regular high school diploma
10000,25,Male,Employee of a private for profit,GED or alternative credential
50000,35,Female,State government employee,Master's degree
101000,27,Male,Employee of a private for profit,Regular high school diploma
173000,44,Male,Employee of a private for profit,Master's degree
92000,49,Female,State government employee,Bachelor's degree
98700,47,Male,Employee of a private for profit,Doctorate degree
13000,30,Male,Employee of a private for profit,Associate's degree
36000,38,Female,Employee of a private for profit,Bachelor's degree
13000,22,Female,Employee of a private for profit,"some college credit, no degree"
36000,26,Female,State government employee,Bachelor's degree
28600,50,Female,Employee of a private for profit,Associate's degree
75000,36,Female,State government employee,Master's degree
38000,29,Male,Employee of a private for profit,Regular high school diploma
26000,27,Male,Employee of a private for profit,GED or alternative credential
80000,39,Female,Federal government employee,Master's degree
6000,23,Male,Employee of a private for profit,Bachelor's degree
35000,38,Male,Employee of a private for profit,Associate's degree
15000,24,Female,Employee of a private for profit,Regular high school diploma
25000,45,Male,Employee of a private for profit,Regular high school diploma
36000,26,Male,Employee of a private for profit,Associate's degree
90000,43,Male,State government employee,Regular high school diploma
28000,43,Male,Local government employee,Regular high school diploma
33000,43,Male,Employee of a private for profit,"some college credit, no degree"
20000,25,Female,Employee of a private for profit,"some college credit, no degree"
45000,23,Male,Employee of a private for profit,Bachelor's degree
45000,26,Male,Employee of a private for profit,Professional degree
16000,38,Female,Employee of a private for profit,no high school diploma
30000,29,Male,Employee of a private for profit,Regular high school diploma
48000,42,Male,Employee of a private for profit,Bachelor's degree
28000,23,Male,Employee of a private for profit,Regular high school diploma
135000,44,Male,Private not-for-profit employee,Professional degree
117000,44,Male,Employee of a private for profit,Bachelor's degree
37030,42,Male,Employee of a private for profit,Associate's degree
90000,50,Male,Employee of a private for profit,Associate's degree
40000,39,Male,Employee of a private for profit,"some college credit, no degree"
28000,48,Female,Employee of a private for profit,Regular high school diploma
14000,36,Male,Employee of a private for profit,Regular high school diploma
13600,41,Male,Employee of a private for profit,GED or alternative credential
27900,26,Male,Employee of a private for profit,Regular high school diploma
40000,26,Female,Employee of a private for profit,Associate's degree
175000,46,Male,State government employee,Professional degree
40000,29,Female,Employee of a private for profit,Regular high school diploma
40000,26,Female,Private not-for-profit employee,Bachelor's degree
50000,31,Male,Employee of a private for profit,Regular high school diploma
35000,42,Male,Employee of a private for profit,"some college credit, no degree"
45000,28,Male,Employee of a private for profit,"some college credit, no degree"
33000,48,Male,Employee of a private for profit,Regular high school diploma
75000,25,Female,Employee of a private for profit,Bachelor's degree
16000,20,Female,State government employee,"some college credit, no degree"
30000,25,Male,State government employee,Regular high school diploma
35000,42,Female,Employee of a private for profit,Associate's degree
45000,31,Male,Employee of a private for profit,Bachelor's degree
21000,44,Female,Employee of a private for profit,Master's degree
17000,21,Female,Employee of a private for profit,Regular high school diploma
13200,22,Female,Employee of a private for profit,Bachelor's degree
18000,33,Female,Private not-for-profit employee,"some college credit, no degree"
52000,48,Male,Employee of a private for profit,Regular high school diploma
83200,41,Female,Private not-for-profit employee,Doctorate degree
90000,49,Male,Employee of a private for profit,Bachelor's degree
36000,26,Female,Employee of a private for profit,Bachelor's degree
28000,33,Female,Employee of a private for profit,Bachelor's degree
41000,26,Female,Employee of a private for profit,"some college credit, no degree"
37000,32,Male,Employee of a private for profit,Associate's degree
50000,37,Female,State government employee,Master's degree
29000,48,Female,State government employee,Bachelor's degree
26000,31,Male,Employee of a private for profit,Regular high school diploma
133500,44,Male,Employee of a private for profit,Bachelor's degree
49000,33,Male,Employee of a private for profit,Bachelor's degree
33000,43,Male,Employee of a private for profit,Regular high school diploma
20000,44,Male,Private not-for-profit employee,"some college credit, no degree"
48000,30,Female,Employee of a private for profit,Bachelor's degree
37200,24,Male,Federal government employee,Regular high school diploma
87100,29,Male,Employee of a private for profit,Bachelor's degree
27100,24,Male,Local government employee,"some college credit, no degree"
61000,28,Male,Employee of a private for profit,Regular high school diploma
97100,32,Male,Private not-for-profit employee,Bachelor's degree
70000,30,Female,Employee of a private for profit,Bachelor's degree
50900,44,Female,Federal government employee,Bachelor's degree
34000,38,Female,Employee of a private for profit,"some college credit, no degree"
60000,38,Male,Employee of a private for profit,Regular high school diploma
26100,23,Female,Employee of a private for profit,Associate's degree
66000,21,Male,Employee of a private for profit,Regular high school diploma
78000,42,Male,Local government employee,Bachelor's degree
48000,50,Female,Employee of a private for profit,no high school diploma
93100,50,Female,Local government employee,Bachelor's degree
65000,31,Female,Employee of a private for profit,Bachelor's degree
54000,30,Female,State government employee,"some college credit, no degree"
40000,29,Female,Employee of a private for profit,Regular high school diploma
132100,34,Male,Employee of a private for profit,"some college credit, no degree"
54100,30,Male,Federal government employee,"some college credit, no degree"
72000,46,Male,State government employee,Bachelor's degree
94000,41,Male,Employee of a private for profit,Bachelor's degree
9200,27,Male,Employee of a private for profit,Regular high school diploma
93900,35,Male,State government employee,Regular high school diploma
158100,43,Female,Employee of a private for profit,Associate's degree
52100,34,Female,Employee of a private for profit,Master's degree
80000,48,Male,Employee of a private for profit,Regular high school diploma
52600,40,Female,Federal government employee,Associate's degree
45000,41,Female,Employee of a private for profit,"some college credit, no degree"
75000,41,Female,Federal government employee,Bachelor's degree
24500,22,Male,Self employed not incorporated,"some college credit, no degree"
39100,25,Female,Employee of a private for profit,"some college credit, no degree"
112700,41,Male,Employee of a private for profit,Regular high school diploma
50000,25,Male,Employee of a private for profit,"some college credit, no degree"
26200,26,Female,Employee of a private for profit,Regular high school diploma
91000,36,Male,Local government employee,GED or alternative credential
32000,26,Female,Employee of a private for profit,"some college credit, no degree"
47000,32,Female,Employee of a private for profit,Bachelor's degree
35200,20,Male,Employee of a private for profit,Regular high school diploma
72000,30,Male,Employee of a private for profit,Bachelor's degree
47100,44,Male,Employee of a private for profit,no high school diploma
26000,28,Male,Employee of a private for profit,"some college credit, no degree"
32900,49,Female,Self employed not incorporated,Regular high school diploma
55100,32,Male,Employee of a private for profit,no high school diploma
34400,36,Male,Employee of a private for profit,"some college credit, no degree"
17800,33,Male,Employee of a private for profit,"some college credit, no degree"
42000,32,Female,Employee of a private for profit,Associate's degree
50000,35,Male,Employee of a private for profit,Regular high school diploma
45000,29,Male,Employee of a private for profit,Bachelor's degree
12000,29,Male,Employee of a private for profit,"some college credit, no degree"
40000,46,Female,Private not-for-profit employee,Associate's degree
120000,49,Male,Employee of a private for profit,Regular high school diploma
32000,31,Female,Employee of a private for profit,no high school diploma
25000,42,Male,Employee of a private for profit,"some college credit, no degree"
10000,22,Male,Employee of a private for profit,"some college credit, no degree"
75000,46,Female,Employee of a private for profit,Bachelor's degree
30000,28,Male,Employee of a private for profit,no high school diploma
25000,25,Male,Employee of a private for profit,"some college credit, no degree"
85000,38,Female,Employee of a private for profit,Bachelor's degree
14000,22,Male,Employee of a private for profit,Regular high school diploma
22000,22,Female,Employee of a private for profit,Regular high school diploma
87030,37,Male,Employee of a private for profit,"some college credit, no degree"
26000,39,Female,Employee of a private for profit,no high school diploma
42000,37,Female,Employee of a private for profit,Bachelor's degree
70600,38,Male,Local government employee,Bachelor's degree
5000,32,Male,Employee of a private for profit,no high school diploma
40000,25,Male,Employee of a private for profit,"some college credit, no degree"
23000,29,Male,Employee of a private for profit,"some college credit, no degree"
77000,48,Male,State government employee,Professional degree
82000,44,Male,Employee of a private for profit,Regular high school diploma
40000,31,Male,Self employed not incorporated,"some college credit, no degree"
45000,38,Female,Employee of a private for profit,Regular high school diploma
46000,35,Male,Employee of a private for profit,Regular high school diploma
220000,34,Male,Employee of a private for profit,"some college credit, no degree"
60000,43,Male,Employee of a private for profit,"some college credit, no degree"
40000,25,Male,Employee of a private for profit,Associate's degree
220000,45,Female,Employee of a private for profit,Master's degree
75000,29,Male,Employee of a private for profit,Bachelor's degree
72000,35,Female,Local government employee,Professional degree
24000,37,Male,Local government employee,Associate's degree
28000,31,Female,Employee of a private for profit,Regular high school diploma
79000,30,Female,Employee of a private for profit,Bachelor's degree
45000,24,Male,Employee of a private for profit,no high school diploma
1200,43,Male,Employee of a private for profit,Bachelor's degree
23800,50,Female,Employee of a private for profit,Regular high school diploma
126000,38,Male,Employee of a private for profit,Bachelor's degree
22300,34,Female,Self employed incorporated,Bachelor's degree
32000,34,Male,Self employed not incorporated,Regular high school diploma
60000,49,Male,Employee of a private for profit,Professional degree
85000,32,Male,Local government employee,Master's degree
52000,33,Male,Employee of a private for profit,"some college credit, no degree"
60000,34,Male,Employee of a private for profit,Regular high school diploma
32400,26,Female,State government employee,Professional degree
9000,30,Female,Employee of a private for profit,Bachelor's degree
38800,47,Female,State government employee,Master's degree
35000,24,Female,Local government employee,Bachelor's degree
14700,27,Male,Employee of a private for profit,no high school diploma
1.00E+05,45,Male,Employee of a private for profit,Bachelor's degree
20000,35,Male,Employee of a private for profit,no high school diploma
41900,49,Male,Employee of a private for profit,Regular high school diploma
30000,26,Male,Employee of a private for profit,Regular high school diploma
40000,43,Male,Employee of a private for profit,Regular high school diploma
29000,33,Male,State government employee,Associate's degree
34000,26,Male,Employee of a private for profit,Regular high school diploma
11000,22,Female,Local government employee,Regular high school diploma
60000,47,Female,Employee of a private for profit,Regular high school diploma
20000,28,Female,Employee of a private for profit,"some college credit, no degree"
28000,38,Female,Employee of a private for profit,Regular high school diploma
29000,46,Male,Employee of a private for profit,"some college credit, no degree"
37000,24,Female,Employee of a private for profit,Professional degree
12000,38,Female,Employee of a private for profit,"some college credit, no degree"
15000,24,Female,Employee of a private for profit,Regular high school diploma
25000,49,Female,Employee of a private for profit,Regular high school diploma
5000,26,Female,Employee of a private for profit,Bachelor's degree
21000,38,Male,Employee of a private for profit,"some college credit, no degree"
14590,40,Female,State government employee,Master's degree
68000,45,Male,Self employed not incorporated,Regular high school diploma
64000,32,Male,Employee of a private for profit,Associate's degree
45000,37,Female,Employee of a private for profit,Associate's degree
46000,49,Male,Employee of a private for profit,no high school diploma
30000,27,Male,Private not-for-profit employee,Regular high school diploma
25000,26,Male,Private not-for-profit employee,Regular high school diploma
30000,29,Female,Employee of a private for profit,Associate's degree
57000,42,Male,Self employed not incorporated,Bachelor's degree
24000,35,Male,Employee of a private for profit,"some college credit, no degree"
6000,25,Female,Employee of a private for profit,Regular high school diploma
40000,33,Female,Employee of a private for profit,Associate's degree
160000,47,Female,Self employed incorporated,Professional degree
180000,50,Female,Employee of a private for profit,Professional degree
50000,50,Female,Employee of a private for profit,Master's degree
27000,21,Male,Employee of a private for profit,"some college credit, no degree"
35000,22,Male,Employee of a private for profit,Regular high school diploma
35000,48,Female,Local government employee,Bachelor's degree
73000,33,Male,Employee of a private for profit,Bachelor's degree
59000,42,Male,Employee of a private for profit,Bachelor's degree
40000,39,Female,Self employed not incorporated,no high school diploma
195000,49,Male,Self employed incorporated,Master's degree
75000,32,Male,State government employee,Bachelor's degree
125000,47,Female,Local government employee,Bachelor's degree
35000,48,Male,Local government employee,Regular high school diploma
40000,38,Female,Private not-for-profit employee,"some college credit, no degree"
59000,26,Female,Employee of a private for profit,"some college credit, no degree"
30000,23,Male,Employee of a private for profit,Regular high school diploma
11000,34,Female,Employee of a private for profit,Regular high school diploma
65000,32,Male,Employee of a private for profit,"some college credit, no degree"
75000,30,Female,Employee of a private for profit,Bachelor's degree
34000,39,Male,Employee of a private for profit,Bachelor's degree
7000,24,Male,Employee of a private for profit,"some college credit, no degree"
45000,33,Female,Employee of a private for profit,Associate's degree
125000,48,Male,Private not-for-profit employee,Doctorate degree
22000,23,Male,Employee of a private for profit,no high school diploma
50000,34,Female,Employee of a private for profit,Master's degree
35000,34,Female,Private not-for-profit employee,Bachelor's degree
44000,32,Male,Employee of a private for profit,Bachelor's degree
19200,50,Female,Employee of a private for profit,Associate's degree
15000,26,Male,Employee of a private for profit,"some college credit, no degree"
25000,28,Male,Employee of a private for profit,Regular high school diploma
18000,23,Male,Private not-for-profit employee,"some college credit, no degree"
24000,38,Female,Employee of a private for profit,Regular high school diploma
32200,34,Male,Employee of a private for profit,"some college credit, no degree"
53000,39,Male,Private not-for-profit employee,"some college credit, no degree"
69000,48,Male,Employee of a private for profit,Associate's degree
20000,36,Female,Federal government employee,Bachelor's degree
75000,40,Female,Employee of a private for profit,Bachelor's degree
142000,43,Female,Employee of a private for profit,Master's degree
41000,40,Male,Employee of a private for profit,Regular high school diploma
51000,41,Male,Local government employee,"some college credit, no degree"
56000,29,Male,State government employee,GED or alternative credential
25000,29,Male,Employee of a private for profit,"some college credit, no degree"
42000,31,Female,Employee of a private for profit,Associate's degree
6500,28,Female,State government employee,Master's degree
135000,42,Male,Employee of a private for profit,Bachelor's degree
50000,34,Male,Employee of a private for profit,Bachelor's degree
26600,45,Male,Employee of a private for profit,GED or alternative credential
12000,50,Female,Self employed not incorporated,Bachelor's degree
31000,42,Male,Employee of a private for profit,Regular high school diploma
140000,30,Male,Employee of a private for profit,Bachelor's degree
23400,24,Female,Employee of a private for profit,"some college credit, no degree"
1.00E+05,35,Male,Employee of a private for profit,Master's degree
65000,32,Male,Employee of a private for profit,Master's degree
72004,26,Male,Employee of a private for profit,Bachelor's degree
63000,33,Male,Local government employee,"some college credit, no degree"
56000,32,Female,Local government employee,"some college credit, no degree"
52000,34,Male,Private not-for-profit employee,Professional degree
48000,38,Female,Employee of a private for profit,Regular high school diploma
19000,22,Female,Employee of a private for profit,Regular high school diploma
20000,23,Female,Private not-for-profit employee,Bachelor's degree
45000,30,Female,Local government employee,Bachelor's degree
32000,25,Male,Employee of a private for profit,Regular high school diploma
24000,27,Female,Employee of a private for profit,Associate's degree
25000,47,Male,Self employed not incorporated,Regular high school diploma
52000,40,Female,Employee of a private for profit,Master's degree
50000,37,Male,State government employee,Bachelor's degree
29000,22,Male,Employee of a private for profit,Associate's degree
47000,26,Male,Employee of a private for profit,Regular high school diploma
25000,32,Male,Private not-for-profit employee,Regular high school diploma
30000,36,Female,Employee of a private for profit,Regular high school diploma
55000,41,Male,Self employed not incorporated,"some college credit, no degree"
70000,33,Female,Employee of a private for profit,"some college credit, no degree"
19000,21,Male,Employee of a private for profit,"some college credit, no degree"
15000,27,Female,Employee of a private for profit,no high school diploma
22900,34,Male,Employee of a private for profit,Regular high school diploma
16300,22,Male,Employee of a private for profit,"some college credit, no degree"
24700,24,Female,Employee of a private for profit,"some college credit, no degree"
99000,41,Female,Private not-for-profit employee,Master's degree
45000,35,Male,Employee of a private for profit,"some college credit, no degree"
36000,25,Female,Employee of a private for profit,"some college credit, no degree"
22000,28,Female,Employee of a private for profit,no high school diploma
30000,22,Male,Private not-for-profit employee,Associate's degree
22000,35,Female,Private not-for-profit employee,Bachelor's degree
78000,28,Male,Employee of a private for profit,no high school diploma
36000,43,Male,Employee of a private for profit,"some college credit, no degree"
18000,24,Male,Employee of a private for profit,"some college credit, no degree"
8000,23,Female,State government employee,Bachelor's degree
15000,38,Male,Employee of a private for profit,no high school diploma
45000,28,Female,Local government employee,Bachelor's degree
69000,25,Male,Employee of a private for profit,Bachelor's degree
32200,25,Male,Employee of a private for profit,Regular high school diploma
10000,26,Male,Self employed not incorporated,no high school diploma
3000,21,Male,Employee of a private for profit,no high school diploma
1200,22,Female,Self employed not incorporated,"some college credit, no degree"
60000,41,Female,State government employee,Master's degree
36000,28,Female,Employee of a private for profit,Bachelor's degree
20000,23,Female,Employee of a private for profit,"some college credit, no degree"
20000,24,Female,Employee of a private for profit,"some college credit, no degree"
22000,28,Female,Employee of a private for profit,"some college credit, no degree"
54000,28,Female,State government employee,Master's degree
92000,49,Female,Federal government employee,Bachelor's degree
25500,28,Male,Local government employee,Bachelor's degree
34000,22,Female,Employee of a private for profit,"some college credit, no degree"
38000,35,Female,Federal government employee,Bachelor's degree
97400,35,Male,Local government employee,Bachelor's degree
